VELOCITY MPS	ROTOR PITCH ANGLE DEG	TILT ANGLE DEG	PROP 2 RPM	PROP 6 RPM	HOVER PROP RPM	PROP2_FX	PROP2_FY	PROP2_FZ	PROP2_MX	PROP2_MY	PROP2_MZ	PROP6_FX	PROP6_FY	PROP6_FZ	PROP6_MX	PROP6_MY	PROP6_MZ
40	31	30	1400	1400	NaN	7798.857667	-172.530561	-1015.788631	3789.681489	-2.064626022	1134.568211	7675.790122	-88.52005677	-988.7376417	-4033.088394	-68.65323863	-1223.427269
40	34	30	500	500	NaN	642.6035806	-121.6709686	-559.4959467	389.8777317	138.8212473	497.4443217	400.4148183	-72.18392987	-498.9392867	-312.9277228	-24.28270584	-502.5083878
40	34	30	800	800	NaN	2496.7181	-150.743668	-655.57453	1339.226867	171.4191131	726.43162	2143.380028	-61.99603952	-690.5384322	-1284.240372	-13.73425044	-802.841165
40	34	30	1100	1100	NaN	4813.596144	-139.6048783	-878.3148606	2595.045033	10.31784607	901.5545522	4710.002728	-64.9515258	-848.1085672	-2708.473867	-138.2235619	-1021.805186
40	34	30	1400	1400	NaN	7735.446472	-184.1191922	-1185.410828	4411.790139	-71.69559861	1149.088639	7961.467394	-147.7545898	-1011.305276	-4704.995317	-94.46879101	-1085.597735
40	22	45	500	500	NaN	377.7306872	-55.42787962	-453.0890106	154.0554167	57.17831123	433.7756283	103.6587836	-74.21783994	-350.7631233	-94.39820056	-58.76815901	-385.4427961
40	22	45	800	800	NaN	1826.023944	-165.5326244	-621.3781944	646.1378267	295.3538772	880.6888156	1253.79075	-28.20148917	-669.111985	-502.8779411	87.71465956	-955.1770672
40	22	45	1100	1100	NaN	4280.802344	-208.5320569	-753.2003617	1388.345383	518.37689	1319.7904	3283.568272	30.94398869	-886.1544422	-1209.049289	226.4601096	-1564.514078
40	22	45	1400	1400	NaN	7565.486572	-216.0457474	-971.11917	2360.831428	626.4219717	1736.056528	6162.136294	31.04673372	-1034.204764	-2285.107739	241.073078	-2114.875994
40	31	45	500	500	NaN	959.7319106	-93.36727661	-644.8417817	443.9024344	143.1887753	673.6777161	601.101505	-62.19541998	-586.4443083	-350.34965	5.545246272	-660.6980739
40	31	45	800	800	NaN	2632.672167	-109.464779	-856.2114583	1199.952456	125.0152082	981.7642728	2208.911667	-53.02091579	-847.5870672	-1085.773844	24.77580156	-1082.935729
40	31	45	1100	1100	NaN	4962.228067	-149.4550609	-1173.757278	2329.770461	-24.58792583	1306.2681	4677.780294	-32.9688587	-1088.278809	-2331.475772	-168.3262229	-1469.148278
40	31	45	1400	1400	NaN	7896.86385	-261.132763	-1586.041167	3952.113772	-104.6951723	1690.129528	8094.348711	-162.3858511	-1400.593628	-4121.736811	-170.160454	-1704.522483
40	34	15	500	500	NaN	293.5866939	-111.0609539	-336.7926033	227.4094622	97.93419011	249.9189256	235.6170931	-108.496734	-186.4665975	-254.2914094	-170.2541877	-182.6599149
40	34	15	800	800	NaN	2262.323033	-147.7074033	-364.4023106	1305.686239	172.6956539	405.3695056	1879.723428	-88.11466402	-259.6047638	-1290.269061	-420.5618326	-262.8669066
40	34	15	1100	1100	NaN	4766.861717	-126.5486004	-483.3487844	2557.783511	109.4483809	535.5191667	4395.809856	-75.61861886	-306.1507918	-2781.6045	-717.2518866	-225.2143635
40	34	15	1400	1400	NaN	7688.179817	-97.58977083	-652.5136706	4301.873306	0.121760335	590.260355	7733.427433	-64.17134942	-458.6925439	-4620.975911	-19.98232526	-496.124474
40	34	60	500	500	NaN	1218.255286	-16.51246865	-770.1517711	598.759765	-38.16184732	681.4851256	822.4851972	-26.64890367	-587.7573867	-476.8302678	-4.002743901	-601.5320789
40	34	60	800	800	NaN	2847.522956	-54.23537714	-1194.781966	1528.944883	-138.9395472	1082.65698	2351.471594	-14.62745927	-1085.871026	-1389.787078	-139.3537302	-1007.515095
40	34	60	1100	1100	NaN	5208.360211	-154.04975	-1670.725361	2962.428622	-172.1999254	1535.169594	5098.325961	46.36598148	-1398.740517	-2904.674111	-254.9031853	-1522.820522
40	34	60	1400	1400	NaN	8243.277239	-256.62239	-2266.800678	4883.375133	-131.0078397	2064.333283	8159.530694	146.4731312	-1997.915533	-4979.887911	-121.935232	-1986.2438
50	40	0	500	500	NaN	65.11045833	-54.70579233	-23.43658669	168.2001461	45.39859461	15.22534051	91.70739478	-6.886730816	80.52131594	-192.5168689	2.436038692	61.26343733
50	40	0	800	800	NaN	2236.693694	-67.54003406	-2.246552322	1698.205411	57.9401065	24.29633354	2175.6716	23.83205986	117.0719242	-1738.286922	22.35532307	116.6940689
50	40	0	1100	1100	NaN	4639.508522	-50.57917787	-67.73676811	3268.354144	59.21079374	52.85440341	4817.224606	56.37920849	173.6844664	-3547.330294	110.5859478	158.2162945
50	40	0	1400	1400	NaN	7562.377494	-50.04460449	-90.38823462	5523.219172	41.25953918	66.99723972	8045.716244	53.41121823	243.3669835	-6033.116839	159.4435077	172.5954528
50	40	15	500	500	NaN	298.1178939	-144.6828713	-539.7629183	292.4657772	124.2005311	348.1358444	153.3515628	-59.1364636	-404.71202	-249.2405856	-2.91280633	-307.6324606
50	40	15	800	800	NaN	2350.166856	-187.1773028	-582.3457983	1700.299311	166.3366011	504.0508467	2158.715478	-32.4559763	-489.9490411	-1716.011139	-6.341327109	-474.8579228
50	40	15	1100	1100	NaN	4711.727078	-128.0315923	-771.4190167	3298.854139	19.5224316	569.5302361	4764.092094	-62.693833	-557.0938894	-3507.592578	-113.7207542	-537.1193939
50	40	15	1400	1400	NaN	7567.035817	-112.9429736	-1035.238675	5561.770978	-51.72709745	734.7629878	7901.38955	-170.8817247	-648.4980178	-5971.6539	-177.0253066	-516.03088
20	22	60	1400	1100	NaN	7727.781822	-123.4786208	-680.8668739	2302.751689	31.43730188	1276.487989	4713.309994	-47.69228712	-518.0775956	-1442.972756	150.0503974	-865.0680822
20	22	45	1400	1100	NaN	7730.033678	-102.2098602	-515.4504911	2270.740389	60.32275623	988.5730661	4015.195272	-112.3666332	-460.0015594	-1373.716567	23.73075192	-778.9398811
30	22	60	1100	800	NaN	4949.068061	-59.72802493	-729.454005	1377.43315	283.9795536	1314.424094	2200.857	23.30146481	-471.1770806	-728.1484978	247.7723908	-965.452545
30	22	45	1400	1100	NaN	7730.098389	-149.2743554	-734.2996667	2308.604689	316.1418222	1364.371972	3634.622717	-16.51902126	-580.3923272	-1364.975283	152.9004446	-1159.062081
30	22	30	1400	1100	NaN	7466.031233	-153.4189722	-461.3444806	2316.526694	437.4046222	958.8704439	2491.048789	-78.59734018	-405.0104761	-1101.373851	-157.0991592	-678.4158861
